iter	Passed	Remaining
1039	50918	135129
1040	50966	135078
1041	51016	135032
1042	51066	134985
1043	51112	134929
1044	51166	134892
1045	51218	134853
1046	51259	134782
1047	51301	134715
1048	51347	134659
1049	51400	134619
1050	51445	134560
1051	51484	134485
1052	51527	134422
1053	51568	134351
1054	51610	134286
1055	51665	134251
1056	51711	134194
1057	51755	134132
1058	51799	134071
1059	51849	134026
1060	51901	133984
1061	51950	133937
1062	51999	133887
1063	52044	133827
1064	52100	133796
1065	52151	133754
1066	52199	133704
1067	52254	133669
1068	52307	133631
1069	52356	133581
1070	52396	133511
1071	52439	133447
1072	52481	133380
1073	52529	133328
1074	52570	133260
1075	52622	133218
1076	52678	133187
1077	52713	133103
1078	52761	133053
1079	52804	132989
1080	52852	132937
1081	52902	132892
1082	52954	132849
1083	53010	132819
1084	53054	132759
1085	53097	132694
1086	53147	132648
1087	53199	132607
1088	53243	132546
1089	53295	132504
1090	53337	132439
1091	53385	132389
1092	53430	132329
1093	53479	132280
1094	53524	132223
1095	53574	132176
1096	53617	132114
1097	53661	132053
1098	53710	132004
1099	53760	131956
1100	53805	131899
1101	53842	131820
1102	53884	131756
1103	53930	131699
1104	53976	131645
1105	54027	131601
1106	54070	131537
1107	54117	131483
1108	54169	131442
1109	54209	131373
1110	54250	131305
1111	54298	131254
1112	54339	131185
1113	54385	131131
1114	54429	131070
1115	54470	131002
1116	54530	130979
1117	54572	130915
1118	54625	130875
1119	54677	130834
1120	54723	130780
1121	54774	130736
1122	54820	130679
1123	54869	130631
1124	54923	130594
1125	54967	130535
1126	55019	130493
1127	55066	130441
1128	55143	130459
1129	55189	130403
1130	55237	130352
1131	55280	130289
1132	55337	130261
1133	55385	130209
1134	55436	130165
1135	55483	130112
1136	55538	130077
1137	55588	130031
1138	55636	129981
1139	55684	129930
1140	55731	129877
1141	55776	129819
1142	55831	129784
1143	55885	129747
1144	55931	129692
1145	55981	129646
1146	56025	129586
1147	56068	129525
1148	56114	129469
1149	56164	129421
1150	56214	129377
1151	56265	129332
1152	56318	129293
1153	56368	129247
1154	56416	129195
1155	56457	129130
1156	56499	129065
1157	56545	129010
1158	56589	128949
1159	56633	128889
1160	56675	128826
1161	56728	128785
1162	56783	128752
1163	56824	128684
1164	56884	128661
1165	56922	128588
1166	56960	128514
1167	57010	128467
1168	57063	128428
1169	57101	128356
1170	57152	128312
1171	57190	128239
1172	57229	128167
1173	57271	128104
1174	57323	128063
1175	57372	128014
1176	57416	127955
1177	57460	127894
1178	57504	127837
1179	57555	127791
1180	57607	127750
1181	57654	127698
1182	57694	127630
1183	57735	127565
1184	57789	127527
1185	57841	127484
1186	57896	127450
1187	57942	127395
1188	57990	127345
1189	58043	127304
1190	58088	127248
1191	58137	127200
1192	58180	127138
1193	58232	127097
1194	58286	127059
1195	58343	127028
1196	58395	126986
1197	58453	126957
1198	58508	126922
1199	58549	126856
1200	58609	126833
1201	58650	126767
1202	58701	126722
1203	58746	126667
1204	58807	126642
1205	58849	126580
1206	58892	126519
1207	58938	126464
1208	58980	126401
1209	59031	126355
1210	59073	126293
1211	59119	126238
1212	59167	126187
1213	59221	126150
1214	59269	126099
1215	59324	126063
1216	59381	126033
1217	59431	125985
1218	59490	125960
1219	59533	125899
1220	59591	125870
1221	59636	125811
1222	59678	125749
1223	59726	125698
1224	59771	125643
1225	59813	125579
1226	59857	125519
1227	59908	125477
1228	59960	125433
1229	60003	125374
1230	60053	125327
1231	60099	125272
1232	60148	125224
1233	60200	125182
1234	60255	125145
1235	60307	125103
1236	60344	125030
1237	60393	124981
1238	60433	124915
